Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov
2014,2,San Juan,3.47248406459358,48161.0,451.0,722.0,1139.0,1173.0,51646.0,7.07777106262497,27.7826978179589,10.0,507.0,51129.0,0.0,0.0,0.0,0.0,0.0,51646.0
2014,2,San Luis,3.50410448104175,11306.0,925.0,354.0,22.0,448.0,13055.0,2.78151226486048,9.71791019987182,7.0,0.0,13045.0,0.0,0.0,1.0,2.0,0.0,13055.0
2014,2,Santa Cruz,3.31815166016344,18956.0,448.0,381.0,4118.0,3266.0,27169.0,8.7446731811569,29.3770071530543,153.0,1637.0,25374.0,2.0,0.0,0.0,0.0,0.0,27166.0
2014,2,Santa Fe,3.31169104109792,324101.0,178495.0,3085.0,6041.0,636.0,512358.0,15.2169574282303,48.3903513867014,8515.0,115197.0,353559.0,23939.0,10058.0,34.0,792.0,0.0,512094.0
2014,2,Santiago Del Estero,3.06975092114959,32820.0,4231.0,19.0,907.0,34.0,38011.0,4.14368314793901,16.6955673473544,1231.0,9914.0,23842.0,2867.0,142.0,0.0,0.0,0.0,37996.0
2014,2,Tierra Del Fuego,3.47009598681291,21618.0,3008.0,648.0,1.0,2934.0,28209.0,19.0863143365562,64.3560451715994,12.0,334.0,31198.0,2.0,0.0,0.0,0.0,0.0,31546.0
2014,2,Tucuman,3.34994476711167,131740.0,97.0,121.0,13.0,98.0,132069.0,8.40948858817327,33.9445268856823,6.0,32714.0,84675.0,14101.0,559.0,4.0,0.0,0.0,132059.0
2014,3,Buenos Aires,3.96904699117324,1562533.0,1110628.0,124474.0,20049.0,31881.0,2849565.0,17.262998432341,56.754739164071,7355.0,128186.72,2281523.6,156693.12,68946.92,243.32,4232.0,0.0,2647180.68
2014,3,Capital Federal,4.43738094339007,450155.0,833402.0,17886.0,1995.0,14387.0,1317825.0,43.2063995929272,113.800512332415,840.0,78016.28,1060145.4,102169.88,70907.08,94.68,6626.0,0.0,1318799.32
2014,3,Catamarca,2.91517617504052,24380.0,244.0,15.0,0.0,47.0,24686.0,6.26989025279194,24.7061213053276,19.0,8845.0,13790.0,1915.0,111.0,0.0,0.0,0.0,24680.0
2014,3,Chaco,3.461947812451,53321.0,10336.0,29.0,1.0,59.0,63746.0,5.62775722230021,21.1126667052624,398.0,14731.0,41934.0,5428.0,1274.0,5.0,0.0,0.0,63770.0
2014,3,Chubut,3.16574179076398,49219.0,668.0,882.0,11853.0,6515.0,69137.0,12.3882340714514,40.5986709442745,2013.0,6281.0,60771.0,34.0,0.0,0.0,0.0,0.0,69099.0
2014,3,Cordoba,3.66006224955991,340212.0,240334.0,444.0,4064.0,377.0,585431.0,16.5601374978714,54.2336102829994,660.0,98992.0,435692.0,28992.0,18888.0,84.0,664.0,0.0,583972.0
2014,3,Corrientes,3.41092777664112,52957.0,9184.0,31.0,1312.0,65.0,63549.0,5.98628267191169,22.7875350351524,21.0,15448.0,41717.0,5181.0,1172.0,0.0,0.0,0.0,63539.0
2014,3,Entre Rios,3.39960794175268,108907.0,22440.0,48.0,5203.0,135.0,136733.0,10.4338264358501,34.981647333713,1709.0,29710.0,91450.0,12569.0,1310.0,0.0,48.0,0.0,136796.0
2014,3,Formosa,2.65628301523038,21021.0,4836.0,0.0,0.0,80.0,25937.0,4.51292526712683,17.7713148314683,2001.0,8323.0,14202.0,1324.0,85.0,0.0,0.0,0.0,25935.0
2014,3,Jujuy,2.93070539025186,30128.0,3541.0,22.0,37.0,13.0,33741.0,4.68339443034039,18.3685342155704,127.0,10979.0,20216.0,2305.0,82.0,0.0,0.0,0.0,33709.0
2014,3,La Pampa,2.81651954574832,16051.0,33940.0,538.0,11219.0,677.0,62425.0,18.3375340019153,55.7812017385042,6458.0,6645.0,41009.0,24.0,5.0,4.0,10.0,0.0,54155.0
2014,3,La Rioja,3.09517878464149,15864.0,0.0,14.0,1.0,37.0,15916.0,4.37903587474791,16.5067132740672,10.0,4785.0,9720.0,1337.0,61.0,0.0,0.0,0.0,15913.0
2014,3,Mendoza,3.50285317684907,150120.0,13030.0,2512.0,40.0,2222.0,167924.0,8.99223693701461,32.3131795616557,35.0,0.0,167763.0,31.0,12.0,13.0,1.0,0.0,167855.0
