,Fecha,Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov,Tasa_Crec_Accesos_x_Prov,Tasa_Crec_Pntcion_xc100_Hoga_x_Prov,Tasa_Crec_Pntcion_xc100_Habi_x_Prov,Tasa_Crec_Acc_ADSL_x_Prov,Tasa_Crec_Acc_CaModem_x_Prov,Tasa_Crec_Acc_FO_x_Prov,Tasa_Crec_Acc_Wireless_x_Prov,Tasa_Crec_Acc_Otros_x_Prov,Tasa_Crec_Acc_rango_0->512_kbps_x_Prov,Tasa_Crec_Acc_rango_0.512->1_Mbps_x_Prov,Tasa_Crec_Acc_rango_1->6_Mbps_x_Prov,Tasa_Crec_Acc_rango_6->10_Mbps_x_Prov,Tasa_Crec_Acc_rango_10->20_Mbps_x_Prov,Tasa_Crec_Acc_rango_20->30_Mbps_x_Prov,Tasa_Crec_Acc_rango_>30_Mbps_x_Prov,Tasa_Crec_Acc_rango_Otros_Mbps_x_Prov
181,2015-10-01,2015,4,Cordoba,5.06708149326841,353530.0,266062.0,480.0,5613.0,385.0,626070.0,17.4691679941471,57.3648817660792,148.0,63746.0,427471.0,62989.0,67151.0,3336.0,1088.0,0.0,625929.0,0.0877742946708393,0.08777429467092812,-0.3697999708625166,0.02274433097551043,3.9568345323740983,0.0,0.09789156626505147,0.0,508.51063829787233,6.398429833169783,0.9420409967401566,-27.29831144465291,0.0,0.0,0.0,0.0
196,2016-01-01,2016,1,Cordoba,5.15680161704967,350884.0,252346.0,674.0,5636.0,386.0,609926.0,16.9726662396085,55.2830927837402,148.0,59484.0,414452.0,65763.0,66455.0,4143.0,1039.0,0.0,611484.0,0.6617968408565877,0.24141464628988363,0.24219008373707052,-2.7250504835795497,1.149127034140185,0.0,10.598021877251584,-0.18218254691200197,0.0,2625.0,0.2607881276565083,0.09269988412514696,1.8516086671044096,0.0,0.0,9.196796893957782
226,2016-04-01,2016,2,Cordoba,5.51691282300281,348891.0,277615.0,1709.0,5610.0,1089.0,634914.0,17.6203480143202,57.5479805282864,258.0,57050.0,437547.0,71980.0,82618.0,8355.0,1242.0,0.0,659050.0,-0.9393222127293988,-0.939322212729421,-1.2044265648015862,-3.188983043551874,1.3535098781000343,32.598425196850386,-0.1580333625987751,99.74683544303798,4.166666666666674,-28.91190205424762,-2.5127988917665434,2.6030425856714112,9.214411690602176,32.221366863399204,21.482602118003037,0.0
246,2016-07-01,2016,3,Cordoba,6.06852692351841,348481.0,285480.0,2540.0,5695.0,395.0,642591.0,17.7855048043124,58.243816258032,48.0,41329.0,415075.0,75988.0,99225.0,11691.0,1322.0,0.0,644678.0,4.222909458083546,3.9673607341319306,3.966880043725829,-7.529822265837971,2.1511955626614787,29.683871160333155,6.352291858305703,-42.15970483594676,1.0101010101010166,1.1011419249592258,-9.971754581953174,-7.356053367307213,17.211375864719436,-12.712403067926603,13.063243636913136,36.203543647363865
280,2016-10-01,2016,4,Cordoba,6.46674036390561,337368.0,289344.0,3368.0,5686.0,789.0,636555.0,17.5712914597652,57.696719154379,50.0,29380.0,404645.0,77966.0,108368.0,15458.0,1606.0,0.0,637473.0,1.0847250983872625,0.8642646785194774,0.8616018695958072,-0.9120460666852459,5.901203854019532,10.993533215755447,0.5728314238952592,-21.163245356793748,0.0,-80.17928286852589,4.470116762319409,6.675307841866496,-21.091962787860297,-12.910798122065724,78.0306222784099,-21.381578947368418
305,2017-01-01,2017,1,Cordoba,6.79947763737,335673.0,293479.0,4871.0,5782.0,1394.0,641199.0,17.6522425706022,57.6533295928744,50.0,28732.0,391556.0,82011.0,118643.0,19035.0,2071.0,0.0,642098.0,17.936554153380733,16.765145267252702,17.642751509438128,0.06411911907455714,105.89308203413385,89.4736842105263,14.774044032444955,-5.769230769230771,24.058848983124182,-13.848422718607246,17.50611964037947,53.47199475925319,93.24776785714286,27300.0,80.3030303030303,0.0
316,2017-04-01,2017,2,Cordoba,7.42132179907677,341748.0,303488.0,4451.0,6446.0,1505.0,657638.0,18.0566153106088,58.9735289080036,251.0,26862.0,370865.0,88479.0,146683.0,20351.0,5069.0,0.0,658560.0,4.442371565371173,4.193216679741152,4.192710002088629,-0.009278675747392828,5.885395712397257,6.047032474804026,64.40352281825461,36.50793650793651,-0.3548196333530429,20.31809145129224,-2.617512648930964,5.220387919994418,3.4435214229085576,105.20887055183086,71.58948685857322,0.0
346,2017-07-01,2017,3,Cordoba,9.11557287304998,344580.0,319360.0,10579.0,7137.0,14988.0,696644.0,19.0769539156083,62.3070022529633,327.0,26154.0,309161.0,100113.0,189302.0,38131.0,16741.0,0.0,679929.0,1.3164062500000018,1.3164062499999796,1.076304522897531,0.607829999042786,4.494382022471921,0.0,0.0,2.564102564102555,-1.5255905511810997,1.27768313458263,1.8502581755593717,0.2271006813020504,0.0,0.0,0.0,0.0
370,2017-10-01,2017,4,Cordoba,11.6365847011566,349710.0,324709.0,12778.0,12043.0,10739.0,709979.0,19.3908577867931,63.3326256520777,291.0,25411.0,280837.0,102892.0,217602.0,40898.0,24251.0,8429.0,700611.0,2.6641909371609707,2.4605040321096006,2.4578450566344,-0.06879156156844868,6.949641826152031,6.269925611052063,2.0376282007742885,132.54437869822488,0.0,0.0,-1.5764425936942272,4.543536362357581,1.8148042297799316,3.1217481789802326,9.953177257525091,32.292460015232294
403,2018-01-01,2018,1,Cordoba,12.7905712174005,349342.0,326894.0,13178.0,13237.0,11275.0,713926.0,19.4473810733398,63.5171696520162,281.0,23922.0,222815.0,104300.0,266259.0,57137.0,29228.0,10049.0,713991.0,1.9608743570903808,1.6672929540721082,1.6677581074789671,0.03545680179648514,8.622480781217545,14.999999999999991,0.0,26.470588235294112,0.0,-10.384041759880692,2.458029059700362,4.183395933169276,11.919019104647855,11.363636363636353,33.33333333333333,0.0
