,Fecha,Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov,Tasa_Crec_Accesos_x_Prov,Tasa_Crec_Pntcion_xc100_Hoga_x_Prov,Tasa_Crec_Pntcion_xc100_Habi_x_Prov,Tasa_Crec_Acc_ADSL_x_Prov,Tasa_Crec_Acc_CaModem_x_Prov,Tasa_Crec_Acc_FO_x_Prov,Tasa_Crec_Acc_Wireless_x_Prov,Tasa_Crec_Acc_Otros_x_Prov,Tasa_Crec_Acc_rango_0->512_kbps_x_Prov,Tasa_Crec_Acc_rango_0.512->1_Mbps_x_Prov,Tasa_Crec_Acc_rango_1->6_Mbps_x_Prov,Tasa_Crec_Acc_rango_6->10_Mbps_x_Prov,Tasa_Crec_Acc_rango_10->20_Mbps_x_Prov,Tasa_Crec_Acc_rango_20->30_Mbps_x_Prov,Tasa_Crec_Acc_rango_>30_Mbps_x_Prov,Tasa_Crec_Acc_rango_Otros_Mbps_x_Prov
463,2018-10-01,2018,4,Chubut,6.08522390368403,37215.0,23065.0,952.0,14443.0,3047.0,78722.0,13.0617297060522,42.6109360960454,66.0,3917.0,66061.0,6215.0,531.0,623.0,165.0,1144.0,78722.0,1.6358035942113602,1.436424743921605,1.431458898209459,-2.5865300512307843,0.5001865102241432,5.773034638207819,1.4922373511530918,13.976555455365203,-77.40863787375415,-15.114709851551956,-0.4234859580971806,-0.27358394974161815,-2.0259050149452063,-0.05714285714285561,18.923611111111114,6.318390398870455
486,2019-01-01,2019,1,Chubut,5.89173056919616,37302.0,23065.0,1923.0,14443.0,3045.0,79778.0,13.1803680616707,42.997736337178,66.0,3938.0,71077.0,6571.0,787.0,74.0,165.0,0.0,82678.0,0.3944530046224859,0.04891265029745018,0.05095687818195138,0.39555006180469476,0.0,0.0,0.0,0.0,0.0,-1.520912547528519,-1.9186169091292449,5.573481959518922,4.540162980209539,9.090909090909083,0.0,0.0
522,2019-04-01,2019,2,Chubut,6.05440689354379,37313.0,26338.0,1917.0,14443.0,7545.0,87556.0,14.4038087278961,46.9879841362692,66.0,3952.0,69032.0,10049.0,1495.0,74.0,165.0,4500.0,89333.0,0.0,0.0,-0.28552780561239555,-0.0013046229313529167,0.0,0.0,10.526315789473696,-0.10626992561104665,-4.477611940298509,-3.8461538461538436,1.7477163525001282,7.14285714285714,12.5,0.0,0.0,0.0
546,2019-07-01,2019,3,Chubut,6.96632358847429,37298.0,27090.0,1917.0,15149.0,7551.0,89005.0,14.580466548719,47.5662416229331,74.0,840.0,62680.0,13033.0,7171.0,1240.0,614.0,4500.0,90152.0,11.437229776506385,11.165928421772753,11.163181030175817,-0.03169294995792882,0.5830533359685974,57.90898514408449,0.0,0.12091898428052694,0.0,0.0,10.482169617785274,16.11243799375344,11.602544683429272,72.51873722461957,1.9385091366141305,0.0
563,2019-10-01,2019,4,Chubut,6.99411352344506,47045.0,26977.0,1324.0,15267.0,5489.0,96102.0,15.6771711859264,51.1450178551471,158.0,4.0,69405.0,12945.0,7615.0,1240.0,614.0,4121.0,96102.0,10.251330458765494,8.869858892038064,9.904514006885922,-0.2960554462222986,44.17879976360608,87.5,-96.66666666666667,-13.33333333333333,75.13711151736746,-5.94594594594594,-2.2356996214190183,41.87378307181309,189.39701897018972,259.25925925925924,116.66666666666666,0.0
577,2020-01-01,2020,1,Chubut,7.1170477818654,45763.0,27287.0,1324.0,16885.0,5479.0,96738.0,15.7151397399492,51.268489419097,158.0,109.0,69586.0,12957.0,7756.0,1240.0,614.0,4500.0,96920.0,1.7852600638736948,1.4946100838671539,1.491653727161557,-1.7026106696935273,5.988773657742619,0.0,0.0,0.0,0.0,-5.630334865397247,0.32414089999746043,4.998090712376424,-10.675032635701353,23.435397039030946,17.615106052767725,0.0
615,2020-04-01,2020,2,Chubut,7.60548798455908,45761.0,38279.0,1324.0,17678.0,5614.0,108656.0,17.5779234120481,57.3446133872355,158.0,109.0,69578.0,22188.0,10537.0,1473.0,614.0,3999.0,108656.0,1.815517734677785,1.4537369796645105,1.4553390407601619,0.04442641633346511,4.518904986592953,0.8007117437722311,-1.0287183883411877,0.2996254681647992,-0.3232062055591456,-1.6220028208744686,-3.031749251309468,-5.875831485587579,19.30601454064771,13.047596495382429,271.83406113537114,0.0
637,2020-07-01,2020,3,Chubut,7.40207444184479,45761.0,39386.0,2897.0,23216.0,18767.0,130027.0,20.9487153048533,68.3438981572004,158.0,109.0,87559.0,22114.0,12217.0,2818.0,1110.0,3942.0,130027.0,-1.8270297436274618,-2.1152171208162263,-2.132107023411378,-2.531343690378851,-4.136384620457689,7.385358552183963,-13.343279237318972,214.51612903225805,25.373134328358216,0.3027245206861817,0.8548785241002888,-0.8522727272727293,41.39130434782609,-14.34328358208955,8.301043029740951,-84.85664288598734
657,2020-10-01,2020,4,Chubut,7.38308762641474,45703.0,39756.0,3040.0,23363.0,18712.0,130574.0,20.9508711746216,68.3518991582562,106.0,109.0,88157.0,21824.0,12046.0,2818.0,1112.0,4402.0,130574.0,0.26529400118788793,-0.7667780457860207,-0.0797794912316907,0.026842835199913928,1.0922244854955299,0.0,-1.863164324984723,0.0,-1.2024048096192397,91.22925838130715,-3.5980509212946488,-0.8064516129032251,6.664555960107643,35.77512776831347,63.934426229508205,0.0
678,2021-01-01,2021,1,Chubut,7.5315274091442,45501.0,40960.0,3444.0,23723.0,18712.0,132340.0,21.1478383150763,68.9942808881567,106.0,109.0,86986.0,21401.0,15392.0,2844.0,1112.0,4390.0,132340.0,1.5186752576664464,1.2136575927408355,1.2091905486746546,-6.755987791630025,3.689988096812602,7.647816599626678,-0.32708890871245844,2.562993403265934,-4.31034482758621,-11.279826464208242,-6.188668634893856,-4.883609947505175,0.8987595632474088,-3.0401583710407243,11.24599114739324,7.14285714285714
704,2021-04-01,2021,2,Chubut,7.67690621713348,49271.0,41497.0,6081.0,23682.0,18706.0,139237.0,22.1597817714202,72.2941048193647,104.0,105.0,89639.0,22605.0,16604.0,3896.0,1112.0,5172.0,139237.0,0.2793422281119229,-0.051891428078965074,-0.051573674930227575,-0.9528529830865495,2.156761685762998,-7.0866141732283445,29.11392405063291,1.0901162790697638,-81.76100628930818,4.304093567251455,-17.670978658370174,0.7490408623104461,62.225854070012645,44.56307951671818,4.761904761904767,0.0
722,2021-07-01,2021,3,Chubut,8.1768603631366,49269.0,55794.0,8946.0,23376.0,18681.0,156066.0,24.7383755028802,80.7097384765756,104.0,105.0,89168.0,26281.0,18538.0,5320.0,1643.0,14907.0,156066.0,0.671335830335118,0.3823427181091299,0.38740959852705537,-6.2322746982304,0.838029486992875,6.750785963123462,0.13905442987682815,0.3477051460361702,0.0,-2.614379084967322,-2.3983161389778296,-2.012083511099494,-5.821689953426478,-13.408304498269896,5.1339011757775,-0.04619648906682983
761,2021-10-01,2021,4,Chubut,9.08266063855547,46361.0,57412.0,9655.0,28041.0,18839.0,160308.0,25.309325144657,82.5734006387143,126.0,1294.0,63698.0,39568.0,31175.0,5780.0,2904.0,15763.0,160308.0,0.6967934830805822,0.4363664321762384,0.43488354968599374,0.0,4.470854555744208,-0.04495729057395481,0.0,0.0,0.0,0.0,-0.1933687842771148,-4.081632653061229,5.5776892430278835,-0.588235294117645,0.0,0.0
780,2022-01-01,2022,1,Chubut,13.4,44133.0,66667.0,9184.0,30592.0,21052.0,171628.0,26.9887596631044,88.0527409383577,113.0,1677.0,61369.0,31856.0,33080.0,13871.0,14055.0,15607.0,171628.0,-0.015127448755769546,-0.01512744875579175,-0.35293045325945904,0.0,0.0,0.0,-6.060606060606055,0.0,0.0,0.0,0.6210239321417843,0.0,0.0,0.0,0.0,0.0
802,2022-04-01,2022,2,Chubut,14.91,45377.0,69242.0,9574.0,29784.0,8828.0,162805.0,25.4999193362706,83.19,109.0,1444.0,45804.0,31217.0,34290.0,14526.0,15394.0,20021.0,162805.0,-0.23527441704692675,-0.541355430125745,-0.5410802531395253,0.0,-9.25469533440979,3.703703703703698,1.2805661784541122,0.0,0.0,0.0,-15.199714693295297,-16.16045845272206,64.76934523809523,1.0829222834557006,0.0,-0.0027087057803742987
816,2022-07-01,2022,3,Chubut,15.57,45377.0,72212.0,9574.0,29784.0,8831.0,165778.0,25.86,84.38,109.0,1444.0,45707.0,30940.0,34682.0,15309.0,17563.0,20024.0,165778.0,130.11718823516492,-48.94103189858494,-46.84945080611923,2696.7028472805273,354.67958223989865,41.75152852815287,-84.11451048174847,2072.9236481751486,0.0,-0.15898251192368873,0.7836851010775581,0.21939076871149155,111.43127066603684,7.130054336320657,-18.99816737935247,-84.65271966527197
853,2022-10-01,2022,4,Chubut,15.92,45450.0,73923.0,9815.0,30721.0,8850.0,168759.0,26.23,85.57,109.0,1614.0,46457.0,31007.0,34728.0,15770.0,19048.0,20026.0,168759.0,0.3147222277553041,-0.25269928784745765,-0.23166023166022454,0.0,-0.15496733121125317,0.0,-2.295782167645488,42.447129909365565,0.0,0.0,-0.7575757575757569,-1.120861934138495,-4.94505494505495,14.2459826946848,7.753193020327398,-0.3816793893129722
880,2023-01-01,2023,1,Chubut,18.36,45448.0,73525.0,9815.0,30521.0,10744.0,170053.0,26.32,85.89,109.0,1598.0,45794.0,30947.0,25072.0,17700.0,28259.0,20574.0,170053.0,2.316522994489101,2.1147798034996557,2.114837497695299,1.346868582703209,5.440823837760478,8.57718773893097,24.111200213846562,-38.40742145739215,-0.5970149253731294,-6.519731184508071,7.418358963594041,1.6114503879876674,0.7715125724320648,0.19212166809974285,0.20589123452383618,-34.65377855887522
901,2023-04-01,2023,2,Chubut,18.58,33702.0,73689.0,16111.0,30521.0,9938.0,163961.0,25.28,82.49,109.0,1467.0,45798.0,31021.0,24750.0,17708.0,28859.0,14249.0,163961.0,1.3482649457645879,1.1691542288557288,1.186708860759489,2.239219854878227,-1.2200581766158014,4.221882614457306,0.28078438476517587,-4.363609961518911,1.7094017094017033,-6.249026024622095,-2.0670039583715605,-5.500882179964717,-2.382455840942055,-13.379886307811073,2.6676773990792935,77.51731815932708
933,2023-07-01,2023,3,Chubut,19.26,26352.0,75460.0,25827.0,30521.0,9908.0,168068.0,25.82,84.23,111.0,1470.0,44434.0,30908.0,24394.0,19608.0,30565.0,16578.0,168068.0,1.1990533789113966,0.9509247085633277,0.9204105628027426,-3.834281855888877,2.106959532052044,0.0,20.980122023223768,-18.576195773081206,0.0,0.0,2.241368545919964,-0.6203394188737499,8.83289892846799,-1.2330456226880449,13.176121372031657,-42.65644955300127
936,2023-10-01,2023,4,Chubut,20.29,26306.0,77217.0,26174.0,30543.0,9930.0,170170.0,26.04,84.96,1953.317,8864.257,132772.534,38408.51,37138.329,20091.33,122209.765,6514.383299798793,367909.447,1.3592533122676276,1.1177252470784271,1.1092264758019388,-8.593663759796888,-8.68502710874186,961.7566331198535,4.236887698850222,0.0,0.0,0.0,-2.1144937127730024,-2.025502697400683,7.8570373652340875,4.004711425206131,28.43904200264773,0.0
973,2024-01-01,2024,1,Chubut,20.5,26306.0,77217.0,26356.0,30867.0,9930.0,170676.0,26.02,84.89,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,170676.0,-0.10339175387719113,-0.7072871562352812,-0.7111789359876108,-0.007779679477204482,-0.19629308066890783,0.0,0.0,1.9354838709677358,54.54545454545454,0.0,-0.9640626414411102,13.021795345400822,-6.1460010735373105,1.455301455301461,-1.6008537886872953,-4.319221967963383
999,2024-04-01,2024,2,Chubut,21.67,25955.0,80704.0,26516.0,31118.0,9930.0,174223.0,26.46,86.33,125.0,1139.0,43699.0,31971.0,22696.0,19827.0,38212.0,16554.0,174223.0,1.7770065309361982,1.7770065309363758,1.4537790309832932,1.2186739617557674,29.71698113207548,0.0,-8.62068965517241,-16.326530612244895,-45.02164502164502,-33.85363219011612,4.794806123056761,7.751320409548268,16.268788682581793,24.8062015503876,100.0,0.0
1014,2024-10-01,2024,4,Chubut,24.720245470900192,112930.8609731877,182158.2810327706,48556.98609731877,12542.229394240318,6497.041708043694,362685.3992055611,15.72724750646932,52.794973016863175,111.0,1088.0,44276.0,31402.0,22843.0,20196.0,33665.0,16589.0,170170.0,8.541638551085384,8.21941138501936,8.22049901043831,4.81897418706001,-6.298837430912907,23.346834649898174,0.14760147601475815,119.5965417867435,0.0,0.0,-1.0634648370497435,8.244844491197423,9.930537689735019,29.82658959537572,10.129412461502007,0.0
2,2014-01-01,2014,1,Cordoba,3.38740458152481,336841.0,225769.0,347.0,3585.0,368.0,566910.0,16.1251831437494,52.5178475440063,2076.0,107705.0,423114.0,24112.0,9818.0,40.0,588.0,0.0,567453.0,3.07533316501154,3.0753335209856125,2.786990625002028,-0.4046195982996825,8.302177495636244,3.721418572095203,17.79670975323149,-3.8193501674359642,6.563314981164869,-21.005865891285413,-0.3166764215354667,11.743175950386409,21.924379811320893,-14.42037141249296,-1.7869575307495889,0.0
42,2014-04-01,2014,2,Cordoba,3.55678596068326,337825.0,234729.0,351.0,3673.0,374.0,576952.0,16.3654084204053,53.448126115626,2105.0,101598.0,429536.0,28698.0,14824.0,76.0,627.0,0.0,577464.0,-92.73085234627226,-33.874031792506045,-42.66406304604695,-47.24212890463306,-93.3090704885655,-97.37455440906945,-90.95325279199042,-89.96518386277906,6.4143631114802035,4.028826951463049,2.5899823471546624,7.975728593341147,0.6608650134136029,4.302835318244247,0.5534530811027283,-25.64457932089178
66,2014-07-01,2014,3,Cordoba,3.66006224955991,340212.0,240334.0,444.0,4064.0,377.0,585431.0,16.5601374978714,54.2336102829994,660.0,98992.0,435692.0,28992.0,18888.0,84.0,664.0,0.0,583972.0,-5.766400617258682,-5.681475662777724,-5.794116958906203,-34.41695971867008,1.1258375556096212,42.70682730923694,0.4878048780487809,-8.277965013641476,195.1923076923077,-95.92391304347827,-34.33616112478865,-8.853494757037483,-19.67886617733369,-20.410996515733338,15.06576014947154,0.0
87,2014-10-01,2014,4,Cordoba,4.09290306218457,345157.0,240452.0,419.0,3918.0,486.0,590432.0,16.6557073313017,54.696896793323,1903.0,85362.0,427844.0,41947.0,30858.0,1177.0,782.0,0.0,589873.0,1.861175305381324,1.861175305381102,1.612726456458513,1.0528061013014955,428.2608695652174,0.0,0.0,0.0,0.0,-3.3125614955723193,3.480870217554388,14.533492822966497,73.4375,0.0,0.0,0.0
104,2015-01-01,2015,1,Cordoba,4.30427928200685,343883.0,247564.0,415.0,4645.0,450.0,596957.0,16.7936219024859,54.6973465018821,157.0,78427.0,432802.0,46574.0,37443.0,1615.0,815.0,0.0,597833.0,0.4018891724603346,0.17787264728228447,0.17542465548472386,0.3971724238449159,0.6342015855039573,0.0,0.0,0.0,0.0,-17.398508699254343,26.333424507658656,4.0248691099476375,22.383252818035437,-5.555555555555558,16.666666666666675,-66.90769230769232
140,2015-04-01,2015,2,Cordoba,4.55793766620085,348130.0,255596.0,435.0,5199.0,386.0,609746.0,17.1065201027829,55.8691635078182,156.0,72695.0,434717.0,54993.0,46415.0,1956.0,903.0,0.0,611835.0,-0.42922783817102017,-0.4292278381710646,-0.6959719455141289,-2.2701818634335402,2.456461961503198,6.896551724137923,2500.0,160.0,0.5263157894736858,-23.799502582743447,-2.535187202323741,0.6134100882366766,8.300596537174453,27.893175074183986,15.207373271889391,0.0
167,2015-07-01,2015,3,Cordoba,4.86784900122509,351692.0,264055.0,1450.0,5412.0,389.0,622998.0,17.4307349890253,57.0834037895185,150.0,68765.0,429787.0,61109.0,59372.0,2582.0,1048.0,0.0,622813.0,0.20513905043881842,0.0,0.0,-14.09887522887785,0.19017749899905567,5.847367914541435,0.0,-6.449106449106445,0.0,-2.7368421052631597,-3.7867395762132605,-9.184537246049661,-7.399946279881819,-1.2632978723404298,2.703862222540021,2.558314522197147
